,SOROS FUND MANAGEMENT LLC,PAULSON & CO.INC. ,TIGER GLOBAL MANAGEMENT LLC,BERKSHIRE HATHAWAY INC,Algo 1,Algo 2,S&P 500,0
2018-05-14,0.0,0.0,0.0,0.0,0.0009148572982968168,0.0016348438954715886,0.0008835217690965624,1.544082743039814e-05
2018-05-15,-0.0007258951883974963,-0.001408825108695111,-0.003189486953489307,-0.014605918255618187,-0.0011347640786478592,-0.0011388145155798901,-0.006842165025108815,-0.01006357689096149
2018-05-16,0.008637249681500814,0.006244379568701941,0.005479526715449046,0.004309951740359086,-0.0023264583223177072,0.003340813173031049,0.004060558004020054,0.009403240182783268
2018-05-17,-0.0019554898482433414,0.002523886211389881,-0.006267142670329573,-0.005139770311048286,-0.006949258300842096,0.005204873576385497,-0.000855843612027285,-0.001594823495449556
2018-05-18,-0.0043573402816528,-0.002672472260554448,-0.012831894791676124,-0.002211908523413797,0.00255737617934542,-0.0024963626093480076,-0.002632227136203147,-0.00606061617969759
2018-05-21,0.002503393715479696,-0.001195254097047016,-0.0011529443740153633,0.010369938945964163,-0.003092315964033596,0.0049239052457098675,0.007386738519040259,0.0075998432810974546
2018-05-22,-0.0023452003618733568,0.001167786406650828,-0.0002396535730574412,-0.0024545894372361987,0.011233874151621016,-0.005628173155741407,-0.0031357367883761977,-0.004961678410338233
2018-05-23,-0.0008987072156005914,-0.0006585518866333295,0.005061831069750332,0.011107732371512968,-0.0020931693455369113,0.001962476674463127,0.003248373977771557,0.003850301312323667
2018-05-24,-0.002159873152032809,-0.002229346114216879,0.0008800720205921486,0.002245333980654074,0.0010754394128114446,-0.0011211912752551849,-0.002023202806873625,0.0007511765648715585
2018-05-25,0.002145932354410851,0.0021602180693875983,0.008299491458894527,-0.0009161259763232898,-0.0011418605911237998,-0.0016050956012402461,-0.002357245505469785,-0.0012321760368129893
2018-05-29,-0.010713941209261169,-0.005302890803479786,-0.00937257424091753,-0.00961272450128603,-0.00017911674734275278,-0.005536785313187609,-0.011564198388288038,-0.00867795923085394
2018-05-30,0.004652898224695612,0.004130648150903582,0.01994982282837809,0.006913615085951229,-0.00013210604167361408,0.011756366876740044,0.01269582803565994,0.006555316183931125
2018-05-31,-0.00805371126307386,-0.006034103057747542,-0.017406959479275952,0.002284162136863221,0.0036730585850819155,-0.004673046020574921,-0.006879563584568427,0.0019086325337533958
